Hinglish,English
Har kisi ko redemption flick acchi lagti hai. Is movie ne bahut paisa kamaya hoga.,Everyone's a sucker for redemption flicks. This film must have made a fortune. 
Well usne to kamaya hi hoga.,Wellhe made a fortune in the movie.
Log kehte hai asli aadmi ne cons ko rokne k naye tareeko se bahut paisa kamaya,People say the real guy made a lot of money inventing new ways of stopping cons.
Makes sense,Makes sense.
Aur har kisi ko happy ending bhi pasand hoti hai,Everyone loves a happy ending too.
Ye mere ko Forest Gump remind karata hai,Sort of reminds me of Forest Gump.
Tum ending k liye ruke the? Wo tab asli aadmi ko reveal karte hai.,DId you stay for the ending? They reveal the real guy then.
"Credits ke time, mera matlab","During the credits, I mean."
OH Yeah. Asli bande ki photo dekhi.,OH Yeah. Saw the photo of the real guy.
Ek kafi acchi movie.,A real good movie. 
hey! kya The social network dekha?,Hey! Have you ever seen The Social Network?
nahi yar. lekin muje patha hein ki voh 2010 mien filmed huva,"I have not, but I know it was filmed in 2010."
aap dekha?,Have you seen it?
mein personally enjoy kiya.. facebook ka story hein yar.. reality based movie dekhna pasand hein?,I personally enjoyed it. It tells the story of the founding of Facebook. Do you like movies based on reality?
"muje bhi.. muje jesse eisenberg aur justin timberlake pasand hein. yeh movie ache reviews nikli, maybe mein watch jarur karunga","I do. I also like Jesse Eisenberg and Justin Timberlake. The movie got good reviews, so maybe I will watch it."
tho mein jarur recommend karunga.. yeh ache hein.. kya jesse eisenberg yaani zuckerburg ka role play intense se kiya.. voh tho badiya film hein,I really would recommend it myself. It was extremely good. Jesse Eisenberg plays Zuckerburg in such an intense way. It's a great film.
kya aap us book ko read kiya jo yeh movie? the accidental billionaires?,Did you read the book the movie was based on? The Accidental Billionaires?
mein kuch learn kiya hein us book se aaj.. mein definitely padunga,I just learned it was based on the book today. I'm definitely going to have to read it. 
acha tho biographical part tho is movie mein jarur sach kaha hoga.. kyon ki is movie tho book ka based hein.. mark zuckerberg tho koi contribute nahi deya hoga,"Apparently, the biographical part of the movie isn't exactly true to life, since the movie was based on the book. Mark Zuckerberg had no part in contributing to the movie."
"Ye janna jarur interesting hai. Main hamesha is bare me sochta tha. Apparently, Saverin akela consultant tha jiske paas koi true to life information thi.","That is certainly interesting to know. I always wondered about it myself. Apparently, Saverin was the only consultant with any true to life information."
Kya Armie Hammer ko do log play karte hue dekhna weird tha?,Was it weird to see Armie Hammer play two people?
Wo tha! To be honest unhone itna accha kaam kiya ke mujhe realize nahi hua dono Armie Hammer the. Wo ek amazing actor hai. Main ye bhi sochta hu k Facesmash ek hilarious startup name hai,It was! To be honest with you they did such a good job that I had a hard time realizing they were both Armie Hammer. He is an amazing actor. I also think Facesmash is a hilarious startup name.
Ye hai! Kya crazy story hai ..basically wo dumped hogaya aur usse badle lete huye millions kama liye,It is! and what a crazy story... basically he got dumped and made millions off of trying to get even with her.
"Kinda contentious banda hai. Jitna tum abhi jaante ho, agar uske saath school me hote to kya uske sath friendly hote?",How contentious of a person. Based off what you know of him would you have be friendly with him if you were in school with him at the time?
"Hmm.. shayad nahi. Dost rakhne me to uska koi accha luck nahi hai. Kitna ironic hai k usne Facebook invent kiya. Tum kya sochte ho, kya uske dost hote?",Hmm... probably not. He doesn't seem to have good luck keeping friends. How ironic as he invented Facebook. Do you think you'd have been friends?
Bilkul nahi.,"Absolutely not
1"
Maine bhi socha tha k ye ironic hai. Mujhe to believe nahi hua,I thought it was ironic as well. I couldnt believe it. 
Wo scene jaha Christy Lee bolti hai Facebook me funny type ka hai. Certainly facesmash me bolne se to accha hai.,"The scene where Christy Lee says Facebook me is kinda funny, too. It certainly beats facesmash me."
"Agreed. Iska sense to banta hai but mujhe koi idea nahi tha ki Zuckerberg ko raaste me kitni help mili hai, especially Napster k ek founder se.","Agreed. It makes sense, but I had no idea how much help Zuckerberg had along the way... Especially from one of the founders of Napster!"
"Justin Timberlake ne use bahut acha play kiya hai. Mujhe bhi is baare me kuch nahi pata tha, lekin ye dhyan me rakho k ye book pe based hai. Kise pata wo actually kitna involved tha.","Justin Timberlake plays him so well too. I never knew about it either, but keep in mind it's based off the book. Who knows how much he actually was involved."
Ye to sahi hai. Main is soch me hu ki kya Mark Zuckerberg ne Sean Parker ko actually Facebook ke headquarters me rehne k liye bulaya tha!,That is true. I wonder if Mark Zuckerberg actually invited Sean Parker to live at Facebook headquarters!
"Unka ye sab ghar se karna mujhe pasand aaya. Tumhe pata hai kitna kuch hua. Agar Sean Parker waha rahta to, kise pata. I love kaise ye tech company start up ghar se chal rahi hai. I wonder wo kaunse dusre continent me pahle expand karna chahte the","I love how he was doing it from a house. You know that much happened. If Sean Parker was there, who knows. I love how tech company start ups are out of houses. I wonder what the other continent was they were trying to expand to first."
"I think  uski success ko consider  karte hue Thefacebook kafi funny hai. Pahle Facesmash, phir Harvard Connection phir TheFacebook yikes!","I think that it is pretty funny considering the success he gained... and ""Thefacebook""? First Facesmash, then Harvard Connection then Thefacebook... yikes!"
Thefacebook to bilkul bekaar hai. Aisa lagta hai Zuckerberg ne sahi me dusre logo ki leli,Thefacebook is just rotten. It seems like Zuckerberg really shafted everyone else in the situation.
Uska Albright ka friend request accept karne tak wait karna kaafi creepy tha,"It's kind of creepy how he just waited for Albright to accept the friend request, too."
Mujhe to ye sad laga. Wo story ki beginning se jyada badla nahi.,It's really sort of sad to me. He hasn't really changed from the beginning of the story.
Mujhe to aisa lagta hai. Main surprise nahi hu ke use settlement karna pada,That's how I feel. I'm not surprised he had to do a settlement.
Usne duniya ka sabse bada social network banaya but wo ek aisa aadmi lagta hai jise log hate karte hai,"He founded the biggest social network the world has ever seen, but he seems like a person who people hate."
Bilkul misanthropic. Main to agree karta hu. Overall ye sad hai.,Extremely misanthropic. I would agree. It's overall kind of sad.
USNE  BURAEE KARNE KE LIYE DIMAAK KA UPAYOG NAHI KIYA,At least he didn't use his intelligence for true evil.
TUM ABHEE BHI VAHAAN HO,are you still there?
10 MINUTES HO GAYA,It's been 10 minutes
HI UDHAR,Hi there
namente,hello
"mai thrill pasand karta hu ,kash kar jo steven spielberg ne produce kiya ho",I love a good thriller. Especially one produced by Steven Spielberg
"ha vah great hai,tom hanks ke bad vah ek baryia","Yeah, he is great. The Post is one of the better ones which  has a lot to do with Tom Hanks"
namaste,Hello
namaste,Hello
kya aapane philm phrojan dekhee hai?,Have you seen the movie Frozen?
"haan mere paas hai, main vaastav mein ise apane mangetar ke saath sinemaagharon mein dekha tha jab yah baahar aaya tha.","Yes I have, I actually saw it in theatres with my Fiance at the time it came out."
kya aapako yah pasand aaya?,Did you like it?
"jee haan, yah ek phanee enimeshan philm hai.","Yes, it is a funny animation film."
main sahamat hoon. mainne ise sinemaagharon mein bhee dekha,I agree. I saw it in theaters too
mujhe lagabhag kuchh bhee pasand hai jo dijnee paida karata hai,I enjoy almost anything that Disney produces
aalochanaatmak pratikriya mujhe bahut achchhee lagee. \,The critical response was pretty good I see. \
mainne suna ki ve phrojan pholo karane ke lie doosaree philm bana rahe hain,I heard they are making a second movie to follow Frozen
sade hue tamaataron par ise keval 89 pratishat mila. mainne socha tha ki yah ek uchch ank praapt karega.,It only got an 89 percent on rotten tomatoes. I thought it would get a higher score.
"main saiton kee sameeksha karane ke lie bahut paravaah nahin karata, main ek philm dekhoonga aur ise khud jaj karoonga.","I don't much care for review sites, I would rather watch a movie and judge it myself."
mein maantha hoon ki us cinema ka score A+ hein,I agree with the CinemaScore of A+
"mein bhi, muje voh artwork aur uska timing animation aur CG work ka movies bahut pasand hein","Me too, I love the artwork and time that goes into animation and C.G. movies"
"lagtha hein ki, abhi hi us movie ko release huva. muje yakin hi nahi hota ki voh 2013 mein aaya hoga jab theaters mein",It seems like this movie just came out. I cannot believe it was 2013 when it arrived in theaters. 
"haan yar, jyada attention aur populatity us stores ke toys, shows aur jyada items mein ab tak jinda rakh rahe hein","Yeah, so much attention and popularity has kept it alive in stores as toys, shows and other items."
frozen mein aapka favorite character kon hein,Who is your favorite character in Frozen?
muje toh sven ya christophe pasand hein,It either has to be Sven or Christophe
kristoff???,Kristoff*
aapko kristen bell patha nahi hein kya?,Do you know who Kristen Bell is?
"patha hein, lekin jyada familiar nahi hein jaise other acting jobs ke swar","I know of her, but not familiar of her other acting jobs."
"muje toh voh villain pasand hein, voh jyada funny lag rahe the",I like the villain. I thought he was funny.
"Yeah,uske aur anna ke bich movie se pehle kuch hua","Yeah, something was up when they fell for each other early in the movie between him and Anna"
"Olaf thoda aur hona chahiye,par thoda funny part bhi","Olaf could be a bit much sometimes, but had some funny parts"
"Yeah,mene socha nahi tha wo bad ladka hoga","Yeah, I did not even guess he would have been a bad guy"
Mene socha mene use movie ke dauran bulaya and finance ke bare me kuch kaha kaise redheads are always portrayes as badguys,I think I called it during the movie and said something to my fiance about how redheads are always portrayed as badguys.
Achha point.mene socha bhi nahi tha,Good point. I didn't even think of that
Naye star wars movie me wo villian commander ke jesa dikh raha tha,He looks like the villian commander from the newer Star Wars movies.
Das me se kitne rating donge movie ko,What rating would you give the movie out of ten?
"Nine ,accha movie tha music jyada play hone ke bad bhi","I think an 9, it was a great movie, even if the music is overplayed"
Aavjo,Bye!
Namaste,hi
thik hai,Hey
To kis movie ke bare mei ham baat kar rahe hai,so what movie r we chating bout
ye Kitaab,The notebook
Ye ek romantic natak hai,It's a romantic drama
bahut aachi or keval ek romantic movie jisko mene hamesh maja liya hai,"best and only romantiv film 
i ever enjoyed"
Namaste,hello
"Hey, waha pe Bruce Almighty movie lagi hai, jisme Jim Carrey hai, tumne dekhi hai kya? Kya tum dekhna chahoge?","Hey, there's this movie called Bruce Almighty with Jim Carrey in it, have you seen it or would you like to?"
"Nahi, maine nahi dekhi.",I haven't seen it.
Kya tumne dekhi hai?,Have you seen it?
yeh kis baare mein hai?,What's it about?
"maine dekha he ise, yeh bahut funny hai. yeh ek comedy hai jo 2003 mein bani hai, yeh ek badkismat tv reporter ke baare mein hai jo bhagwan se complain karta hai aur badle mein khud ek hafte ke liye bhagwan ban jaata hai.","I have seen it, it's really funny. It's a comedy made in 2003 about a down on his luck tv reporter who complains to god and in return becomes god for a week"
mujhe comedies pasand hai. kya Jim Carrey achcha hai is mein?, I like comedies. Is Jim Carrey pretty good in it?
"yeh uski ek behtereen film mein se ek hai, isliye mein kahoonga ke haan, yeh ek bahut hi slapstick comedy hai.","it is known as one of his best films, so I would say yes, it is very slapstick comedy"
isme romance bhi hai?,Is it also a romance?
"nahin, yeh ek comedy hai.","no, it's a comedy"
"nahin, yeh nahin hain.",no it is not
"too bad, mujhe romantic comedies achche lagte hain.",Too bad. I like romantic comedies.
bhagwaan ban ne se uske ke liye work out ho jaata hai kya?,Does being God work out for him?
hi,hi
Namaste,Hi
Namaste,Hi
Kya aapane  mean girls movie dekhee hai?,Have you seen the movie mean girls ?
"Ham ""Mean girls"" ke baare mein bolane vaale hain?","we are supposed to speak about ""MEAN GIRLS"" ?"
Haan,yes
Haan mein bhi,Yes me too 
Yah comedy aur fun romance hai,It s comedy and a fun romance 
Haan,yeap
Critics dvaara isakee bahut prashansa kee gaee,It was highly praised by the critics 
"Haan, lekin meree raay mein","yeap, but in my opinion"
Ise pachaas sabase bade kishor comedies ka naam diya gaya tha.,It was named the fifty greatest teen comedies 
Mera pasandeeda hissa ladakiyon ko ek-doosare se hate karana tha,My favorite part was the girls hating on each other 
Yah bahut jyaada dekha gaya hai,it is too much viewed
Mujhe bhi pasand hai,I liked it too
^^,^^
Rotten tomatoes ne ise 84 pratishat diya taaki aisa lagata hai ki yah napharat ho sakata tha aur pasand bhee kiya ja sakata tha,Rotten tomatoes gave it 84 percent so it seems it could have been hated and liked as well 
Lekin bahut see movies aisee hee banatee hain,but too many movies like it are made
Bhale hee vah sahee ho,even if it is correct
Mujhe lagata hai ki candy character vaalee lindsey lohan isamen ek achchhee abhinetree hain,I think Lindsey Lohan who plays candy is a good actress in this 
kya aap aksar is tarah kee movie dekhate hain?,"Do you often watch this kind of mov
ie ?"
Mean ladikiya tho same jisa teen shows jisa hi. Rachael madams acting kiya Regina George.,Mean girls is similar to most favorite teen shows.  Rachael madams iplays Regina George 
sahi,exactly
"Amanda ka friend karen acting kiya tha , uska role tho bahut quiet hi",Amanda seyfriend plays Karen he role was more quiet 
visa bhi mene bi socha hi,that is what I think
"ee tho interesting hi, non fiction book jisa",What’s interesting is this was a non fiction book 
"iska score tho 66/100 ,utna jyada wonderful nahi hi",It got a score of 66/100 which is not wonderful either 
mene bhi utna marks dedungi,that is the mark I would have given
burn book tho bahut interesting concept hi,The burn book was an interesting concept 
vo cinema score tho a a-,The cinema score was a a - 
John fir se criminal underworld me aa gya,John returns to the criminal underworld
Muje aascharya hua ki wo uski wife ke death se trigger hua,I wonder if that was triggered by the death of his wife.
Vo interesting he,thats interesting
Movie ka sound exciting tha,The movie sounds exciting
Ha bahaut interesting,Yes very interesting
kya aap keanu reeves ka fan ho?,Are you a fan of Keanu Reeves?
yeh tho action thriller movie hein. muje action thrillers ka pasand hein,It's an action thriller movie. I love action thrillers.
muje bhi. muje mystery aur adventure movies ko pasand hein,Me too. I also like mystery and adventure movies.
kab movie dekhne plan karte? ya tum already dekh liya hein kya?,When do you plan on seeing the movie? or have you seen it already?
is movies ko follow up karna tho deserves hein,This movie deserves a follow up
mein maantha hoon,I agree
revenge thrillers tho badi intense hein,revenge thrillers are intense
haan voh tho hein,Yes they are.
app 6.9/10 hi mila,It only only got 6.9/10 hmmm
acha badi surpried huva,Wow. Im surpried.
2014 ko bana hai. Thoda purana hai,Made in 2014. Kind of old
Thik hai.jankar acha laga.,Oh ok. Good to know.
Mere ko vichar aaya ki ye nahi hai,I would have thought it was newer
Mujhe yaad hai jab ye trailer bahar aaya,I remember when the trailer came out.
Eske aash pass bahut hype hai.,It had a lot of hype around it.
Crime ki taraf kon jayega jab kisi apne ki death ho jaye,Who returns to crime after the death of a loved one hmmm
Yaha koi bhi sahi mind ka nahi hai,No one in their right mind.
Mujhe vengence ko dekhkar jankari mili,oh I should have know seeking vengence
Kuch logo keliye badala acha karan hota hai.,Yeah. Revenge would be a good reason for some people.
In sab ne car ko chiri kiya or puppy ko mar dala jo uski mari hui biwi ne diya tha.,"They stole his car and killed his puppy, a gift from the dead wife."
WOW WOH ACHHA NAHIN,"Wow. T
hats bad."
MAIN MOVIES ME YATHANA DENA PASAND NAHIN KARTA,I hate torture in movies though
SAHI HAI.YEH EK ACHHI BAAT NAHIN HAI,Yeah. Its very unpleasent.
mujhe  action aur ladai pasand hain.,I like action though like fighting
mujhe bhi,Yeah. Me too.
is role keanue karne se achha ho saktha hain,This role probably fit Keanu so well
main bhi aisa soch tha hoon. WOH EK ACHHA ACTOR HAIN,I think so. He does well as an actor.
"Namaste, Hi",hi
"Hi, Namaste",HI
"Zootopia , tumne ye movie dekhi",Zootopia have u see this movie
"Namaskar, hello",hello
hi,hi
hi,hi
to mene suna he you seen a film?,so i heard you seen a movie?
"yes, me Despicable hu.ye ek animated movie he jo few year ago ayi thi","yes, Despicable me. It's an animated movie that came out a few yers ago"
nice ye to interesting sound karta he.kya tum mujhe iske about little bit bata sakte ho?,nice that's sound interested. can you tell me a little bit about it?
kya ek adult bhi is movie ko enjoy karega?,would an adult also enjoy the movie?
"sure, isme Steve Carrell supervillan ,  Russell Brand jese star he , Russell Brand uski crime me scientist/partner he.","Sure, it stars Steve Carrell as a supervillan, with Russell Brand as his scientist/partner in crime. It was directed by Pierre Coffin.."
awesome he,awesome
kya ve 3D version bhi offer karate he?,do they offer a 3d version as well?
"yes! ise Rotten Tomatoes ke 81% mile, aur most revies ne prashansa ki kitna smart humor he.ye whole family ke dekhne layak he.","yes! It got a rotten tomato score of 81%, and most reviews praise how smart the humor is. It's good for the whole family."
"yes, ye 3D aur regular dono version me he","Yes, it comes in 3d and regular "
nice,nice
Aap plot ke bareme janana chahenge?,Do you want to know the plot?
"Mujhe steve carrell pasand hai, Maine uski jo bhi movie dekhi usme vo funny the. mujhe lagata hai ki use ek animated avaj par kam karte dekhana funny hoga.","i like steve carrell, he was funny in other movies i have seen him in as well. i think it would be funny to see him doing a animated voice over."
"Nahi, Mujhe uske bareme thoda aur bataiye",no please tell me a little bit about it
"Haa, Mera matlab hai lol",yes i mean lol
"ye vahi he! ye bahut hi achcha design huva hai, aur uska vyaktitva animation me aata hai. Jab Giza me dusre villan Pyramid churate hai tab Steve Carrell chand churane ki koshish karte hai","it really is! It is designed very well, and his personality comes through in the animation. Steve Carrell is trying to steal the moon after another villan steals the Pyramid at Giza"
"are wow, vo interesting sunai padta hai. Ye movie apko kis age group ke liye banai lagti hai?","oh wow that sound interesting. what age group
 would you see this movie is made for?"
"Mujhe lagta hai, yah bachho aur sathme bado ke liye bhi hai. yah mukhatapurn aur buddhiman hasya ka ek achchha mishran hai",I would say it's for young kids all the way up to adults. It is a good blend of silly and intelligent humor
"Kya movie me bahut sare gane hai? main vishesh rup se musical type movies pasand nahin karata, lekin mere bachche karate hain",is there alot of singing in the movie? i dont particular like musical type movies but my kids do?
"is movie ke lie Pharell ne sirf ek geet likha hai. Isme bahut jyada music nahin hai, aur shayad bachchon ko yaad rakhana aur lagatar gaana ga pana bahut mushkil hai, lekin isame Minions ka kirdar hain jo dance aur bahut murkhatapurn abhinay karata hai","there's a song written just for this movie by Pharell. It's not too much music, and it's probably too hard for kids to memorize & sing constantly, but there are characters called Minions that dance and act very silly"
oh ok. Meri tarike ki movie lagati hai. main dil se bada bachcha hu,oh ok. lol sounds like my kind of movie. I'm a big kid at heart
kya movie kafi long hai ya standard?,is the movie pretty long or standard?
"mujhe bhi, maine isey bohat enjoy kiya. Ye funny aur feel-good ka accha mix hai, Gru eventually teen ladkion ko adopt kar leta hai jo usey moon chori karne mein help karti hai. ye zyada long nahi hai, shayad 1.5 hours","me too, I really enjoyed it. It's a good mix of funny and feel-good, Gru eventually adopts three little girls who help him steal the moon. It is not too long, maybe 1.5 hours"
oh ye buri nahi hai. mujhe lagta hai main apne kids ke saath ye movie dekhna chahunga. unka attention thode while ke liye bana rahega. lol,oh that is not bad at all. i think i will look forward to seeing this movie with my kids. should keep their attention for awhile. lol
lol ye definitely karegi! although wo shayad isey bar bar dekhna chahenge,lol it definitely will! although they might just want to watch it over and over again
"cool, ye definitely mujhe help karta hai. oh kya ye disney movie hai ya ye kisne banayi hai?","cool, this definitely helped me out . oh hey is this a disney movie or who is it made by?"
"Ye ek French studio Mac Guff ne banayi hai, lekin Illumination Entertainment ne us studio ko kharid liya aur Universal Pictures ke saath us movie ko release kia.","It's made by a French studio Mac Guff, but Illumination Entertainment bought the studio and released this movie with Universal Pictures."
oh wow mujhe nahi pata tha universal had their hands in animation,oh wow i didn't know universal had their hands in animation. 
main bhi nahi. Mujhe lagta hain wo involved they kyunki ye Computer Animated film hai.,"i didn't either, I think maybe they're involved because it was a Computer Animated film"
oh. makes sense,oh. makes sense
kya tum isey apne bacchon ke saath dekhoge ya unhe dekhne doge jab tum kuch aur kar rahe hoge?,will you watch it with your children or let them watch it while you do other things?
I think unke saath ise dekhne me mujhe accha lagega. Aisa lagta hai ye puri family ke fun hoga.,i thiink i would like to watch it with them. Sounds like it may be fun for the whole family.
hello,hello
movie ka nam kya tha?,what is the name of the movie?
hello,hello
kya tumne 'The Post' dekhi hai?,Did you watch 'The Post'?
nahi mene nahi kia,"No, i didnt"
konsa genre hai ye?,what genre is it?
"ye 'Historical, Political' hai","it is 'Historical, Political'"
Steven Spielberg ne isey direct kiya,directed by Steven Spielberg
oh. Kya isme koi actor hai jiska mujhe pata ho?,oh. Does it have any actors that I might know of?
Maryl Stree,Maryl Stree 
Streep,Streep
Tom Hanks,Tom Hanks
kya ye nayi movie hai?,is it a new movie?
"haan, 2017","yes, 2017"
"oh, mujhe lagta hai main thoda samay mein piche hun. kya ye well received hai?","oh, I guess im a bit behind the times. has it been well received?"
main sochta hun ye worth watching hai,I think it's worth watching
kya tum plot ke bare mei janana chahte ho?,do you want to know something about plot?
baad mei post ka kya naam tha? movie ke bare mei kya kahna hai?,"what type of ""post"" is it named after? whats the movie about?"
haa please,yes please
Is post mei  pentagon paerss ko prakashit karne ke liye journalists ki attempts ki story hai,The Post depicts the story of attempts by journalists at The Washington Post to publish the Pentagon Paers
papers,Papers
ye kya vietnam war se related hai?,oh. is that related to the vietnam war?
haa,yes
ye movie government cover up ke bare mai hai?,is the movie about a government cover up?
goverment hamesh kuch chupane ki koshish karti hai ;),the government always has something to hide ;)
ye kya sach hai!,isnt that the truth!
Mujhe lagta he ki me ye movie enjoy karunga,it sounds like a movie id enjoy
Mujhe lagta he ye movie dekhne layak he,I think that this film is worth watching
Kya yaha lamba show he?,is it a long show?
Kya tumhe length pata he?,do you know the length?
Mujhe length nai pata.,I dont know the length
Lekin probably 1.30h as usual..,but probably about 1.30h as usual...
Kya tumhe pata he agar koi award jita he?,do you know if it has won any awards?
Mujhe nahi pata,I don't know
Thanks mujhe post ke bare me batane ke liye.,well thanks for telling me about the post. :)
Hello,Hello
Kya tumne hohn lee hancock ki nayi movie dekhi hai,Have you watched new movie of hohn lee hancock
Arre weh ek bahut achhi movie hai,hey man its a great movie
hello,Hello
yeh ek Biographic movie hai,its a Biographic sports drama
The blind side kaha jata hai,called The blind side
han maine 10 baar dekhi hai aur tumne,Yes I have watched already like 10 times and you
abhi nhi,not yet
but sunne pe achhi lgti hai,but sounds great
aur yeh tumhe bahut kuch sikhati hai,And it teach you a lot 
ache review hein yar...,it has nice reviews
aap jarur dekho.. especially voh environment tho badiya live hein,You have to see it... speaciallt rhe environment that we live right now 
mein jarur watch karunga,I should go and watch it
isme aapko sikh milega ki race matter nahi karte,It teach you that the race it doesn’t matter 
voh ache acting hein,she did good acting I guess
hard life hein us foster bache ka,hard life of foster child
mein jarur aapko recommend karunga,You should I recommend it 
haan.. specially us kid ka acting is movie mein tho badiya hein,Yes specially with the acting of the kid mike 
lakin yeh sad movie hein,But at the same time is a sad movie 
kyon ki uska parent us kid ka kuch dyan nahi rakhte..,Because how a parent can’t take care of the kid when you have it 
Well I guess life better hogi,well I guess life gets better
Tumhe Good family kab milege?,when you have good family
"Yes, ye movie tumhe batayegi",Yes and this movie will tell you 
Wo ek Good interior designer hai,she is a good interior designer
Aur Adoption ka meaing Cas Fast I hai,and the meaning of adoption is cas fast I 
Wo hamesha se uski side thi,she was always at his side
Yes mujhe Movie me uski acting se pyaar hai,Yes I love her acting in the movie 
Ye Important hai,that is important
Aur jitni bhi Movie unhone ki hai Usne Amazing kaam kiya hai,And in all movies does she does it’s amazing 
Isne ise Succeed banaya hai,that made him succeed
yes totally,Yes totally 
"Re ek aisa part hai jo ki bahut hilarious hai jab ve mike ko clothes kharidne ki try karte hai, uska face hilarious tha haha",The re is a part that’s it’s hilarious when they try to buy clothes to mike her face was hilarious haha
gand leader ne mujhe dhamki di,gang leader threaten him
par michael ne  really spirrit show ki,but michael really showed spirrit
Han me totally agree hun,Yes I totally agree 
tumhe ise watch karna chahiye,You should watch it 
baat karne me nice hai,nice to talk
bye,bye
HELLO,Hello.
MUJE THE WOLF OF WALL STREET PASAND HEIN,"I liked The wolf of Wall Street,"
KYA THE WOLF OF WALL STREET ACHE MOVIE HEIN?,Does the wolf of wall street look like a good movie?
"OFCOURSE, AAPKO?","Of course, what if and to you?"
"AUR BHI KAHI MOVIES JISKA TOPIC STOCKBROKER NAHI HEIN, MERA KHAYAL SE","There are not so many movies about the topic ""stockbroker"" that I know of."
ALMOST NO YAR,there is almost no
"MUJE SAMAJ NAHI KI, KYON ROTTEN TOMATOES NE ITNA BADLY RATED DIYA",I can't quite understand why it rated so badly on Rotten Tomatoes.
KAISE LEONARDO AISE KAR SAKTHE HEIN,How did Leonardo do it for you?
7.8/10 HI DIYA,With only 7.8/10 .
MUJE JORDAN BELFORT PASAND HEIN,I liked him as Jordan Belfort.
ACHE CHARACTER HEIN,excellent character
KYA AAPKO IS MOVIE MEIN WHOLE PLOT PASAND HEIN?,Did you like the whole plot of the movie?
"SURE, MEIN THO PLOT KO ENJOY KAR RAHE THI","Sure, I enjoyed the plot."
"THO AAPKA KYA SOCH HEIN, KI KAHA VOH WRONG KAR SAKTHE?",Do you think that what they did was wrong?
"HMM, END MEIN JO BIG SCHEME THA USSE AAP MEAN KARTE?","Hmm, you mean the big scheme in the end?"
nahi muje lagtha hein ki voh business chala raha hein,"No, I guess that is just how the business runs."
jonah hill tho donnie azoff ke hein,Jonah Hill as Donnie Azoff?
aapko is character ko yaad hein,Do you remember that character?
ache paper banaya hein,what good paper did
"haan, muje pasand hein",Yes. I liked that one too.
fbi ko thoda time laga isse banane mein,It took the FBI quite a long time to get them.
"quite interesting yar, kaise wall street mein people aathe, tho aapko konsa pasand hein?","It's interesting how people come up on Wall Street, would you like to be one of them?"
muje jordan's wife ko jab voh money ke liye thi,It seems to me that Jordan's wife was just for the money she had
"muje lagtha, time tho chala gaya.. aajkal tho trade hi digital huva",I guess that time has passed. Nowadays most of the trade is digital I guess.
tho wallstreet gaya kya,So that part of the spirit of Wall Street is gone.
"YES, USNE EK GALATH LADKI SE SHAADI KIYA","Yes, he married the wrong wife."
AAP IS MOVIE NAYA VERSION PASAND KARTHE HO?,Would you like a new version of the movie?
YES. EK MODERN VERSION BAHUTH ACHH HOGA,Yes. A modern version would be interesting.
YEH EK IT CROWD JAISA HOGA,It might be a bit more like IT Crowd.
AAP MOVIE PAR KUCH AUR KAAM KAR SAKTHE HO,You add something more to the movie?
METACRITIC SCORE :75/100 MUKHE LAGTHA HAI BAHUT KAM HAI AAP KA KYA KHYAAL HAI,Metacritic Score: 75/100 I think it was very low and you?
1987 JO DESH ME KAALE DHAN HAI VAH SWITZERLAND HAI,In 1987 the country to go for money laundering is still Switzerland.
MERE KHYAAL SE CRITIC RATING BAHUT KAM THA,The critics rated it too low for my feeling.
SHUBH RATHRI,Goodnight.
MUJHE MOVIE ACHHA LAGA,I liked the movie
hello!Namaste,hello!
"me hope karta hu ki tum romance like karti ho, because mujhe yahan ek scorcher mila he","i hope you like romance, because ive got a scorcher here"
2004 ryan gosling ka drama: the notebook,the 2004 ryan gosling drama: the notebook
han me romance like karti hun.,Yeah I like romance
"well to tum iske liye in ho, ye ek best seller par based he","well you're in for it, this ones based on a best seller"
tab to well he,well then!
Hello,Hello
Hi,Hi
Movie ka naam kya hai?,What is the name of the movie?
Batman v Superman. Tumne watch kiya hai kya?,Batman v Superman. Have you watched it ?
"No, nahin dekha. Achcha hai?","No, I havent, is it good?"
Even now wahin ho?,Are you still there?
ye superman ki movie Man of steel se better hai,"It's better than Man of Steel, the superman movie"
But dark knight se acchi tarah neeche,But well below Dark Knight.
namaste,Hello.
"haay, mujhe lagata hai ki aapako laala laind dekhana chaahie. aisa lagata hai ki yah ek adbhut philm hai","Hi, I think you should watch LaLa Land. It sounds like it is an amazing movie"
movie mein kaun star hai,Who stars in the movie?
"Ryan Gosling, Emma stone, aur John Legend","Ryan Gosling, Emma stone, and John Legend"
"mujhe  Ryan Gosling pasand hai. wo acha actor hai,lekin maine suna hai ki wo musical tha. kya ye sahi hai?","I like Ryan Gosling. He is a good actor, but I heard that it was a musical. Is that correct?"
"haan, wo musical romatic comedy hai. isme wo sub kuch hai jo aap ko acha mehsoos karayega, romance aur comedy.","Yes, it is a musical romatic comedy! It has the best off all the things that make you feel good! Romance,and comedy."
"main Ryan Gosling ko musical mein imagine  nahi kar sakta,lekin shayad ye chalega","I cannot imagine Ryan Gosling in a musical, but I guess it could work."
movie  kahan bani hai,Where does the movie take place?
wo Jazz pianist bana hai aur usko Emma Stone se mohabbat hojaati hai. ye Los Angeles mein hota hai,"He plays as the Jazz pianist, and he falls in love with Emma Stone. It takes place in Los Angeles. "
kya Emma Stone bhi artist play kar rahi hai?,Is Emma Stone playing an artist also?
