,premise,hypothesis,labels,translated_premise,translated_hypothesis
1119,"PRINCE : Welcome ! Rakesh c h a i b o l beta teen . ## TITLI : Nahinji thank you . ## PRINCE : Kuch to lo ji , pehli baar aaye ho . ## NEELU : Nimbu soda aayega ? ## PRINCE : Ja beta nimbu soda bol . ## PRINCE : Flat dekhke ke dil khush karte hain pehle aapka . Fir baat karte hain aaram se . Aaoji aao ! ## ",TITLI ne nimbu soda order kiya,contradictory,"राजकुमार : स्वागत है ! राकेश सी एच ए आई बी ओ एल बीटा टीन। ## तितली : नहीं, धन्यवाद। ## प्रिंस: कुछ तो लो जी, पहली बार आए हो। ## नीलू : नींबू सोडा आएगा ? ## प्रिंस: जा बेटा नींबू सोडा बोल। ## प्रिंस : फ्लैट देखे के दिल खुश करते हैं पहले आपका। फिर बात करते हैं आराम से। आओजी आओ! ##",तितली ने नींबू सोडा ऑर्डर किया
1120,"BHAIRAV : Tumne jhoot bola hum se . Tum fail ho gaye ... ## BHAIRAV : Tumko lagta hai ye sab mazaak hai ? ## BHAIRAV : Bolo ... mazaak lagta hai tumko sab ? ## ROHAN : Nahin sir ... ## BHAIRAV : Padhai kar rahe the ya apna novel likh rahe the ... bolo ... ## BHAIRAV : Humko laga college ja raha hai Rohan . Sudhar gaya hai . Itna straight face jhoot to politician log bhi nahin bolte . Humko bol diye paas ho gaye ho aur yahaan aakar sab ko kahani suna rahe the taaki dus log , jinka thikaana nahin kal zinda rahenge ya nahin bolein 'vah kya writer hai ... ' ## BHAIRAV : Itni aasaani se jaane nahin doonga main isse . Javaab dena padega tumko ... ## ARJUN : Sir ne kya bola ? ## ",BHAIRAV ne kaha ki ROHAN Sudhar gaya hai. ,contradictory,"भैरव : तुमने झूठ बोला हम से। तुम फेल हो गए... ## भैरव : तुमको लगता है ये सब मजाक है ? ## भैरव : बोलो... मज़ाक लगता है तुमको सब ? ## रोहन : नहीं सर ... ## भैरव : पढाई कर रहे थे ये अपना उपन्यास जैसे रहे थे ... बोलो ... ## भैरव : हमको लगा कॉलेज जा रहा है रोहन । सुधार गया है। इतना सीधा चेहरा झूठ से राजनीतिज्ञ लोग भी नहीं बोले। हमको बोल दिए पास हो गए हो और यहां आकार सब को कहानी सुना रहे थे ताकी दस लोग, जिन्का थिकाना नहीं कल जिंदा रहेंगे या नहीं बोलें 'वह क्या लेखक है... . जवाब देना पडेगा तुमको ... ## अर्जुन : सर ने क्या बोला ? ##",भैरव ने कहा की रोहन सुधार गया है।
1121,"CLERK : Yeh ? ## CLERK : Yeh toh guzar gaya . Haadsa ho gaya ek . ## DEVI : Iski ye file hai humaare paas . Kuch paise baaki hain , ek do books bhi hain uski jo lautani hain . Aap pata de sakte hain ? ## CLERK : Number hai ghar ka . Ye addresss hai unka Allahabad mein . Note karo . Par bolna mat kahin ki maine diya hai . ## ",Yeh went somewhere. ,contradictory,"क्लर्क : हाँ? ## क्लर्क : ये तो गुजर गया। हडसा हो गया एक। ## देवी : इसकी ये फाइल है हमारे पास। कुछ पैसे बाकी हैं, एक दो किताबें भी हैं उसकी जो लौटनी हैं। आप पता दे सकते हैं? ## क्लर्क : नंबर है घर का। ये एड्रेस है उनका इलाहाबाद में। नोट करो। पर बोलना मत कहीं की मैंने दिया है। ##",हाँ कहीं चला गया।
1122,"DR. SWAMY : You know the law Ashwin .. Investigative officers narco test mein maujud nahin reh sakte .. ## ASHWIN : Swamy Saab .. Main pahadi ki nok pe khada hoon .. Ek kood mili .. Aur khai paar .. Please .. ## DR. SWAMY : Ashwin bachhe ki tarah zid mat karo .. I can't help in this , please .. ## ASHWIN : Achha phone do apna . ## DR. SWAMY : Kisey phone laga rahe ho ? ## ASHWIN : Khud ko ? (He gives her the phone back ## Lo baat karo . : ASHWIN ## Hello Dr . Swamy ? Kaisi hain ? : DR. SWAMY ## Ashwin kya hai ye ? : ASHWIN ## Live telecast . Ye to law mein mana nahi hai na ? Aur test ke dauraan koi sawaal soojha to main Dr Mohanty ko text karoonga . Jaaiye ander . Der ho rahee hai . :  ## ",DR. SWAMY bachhe ki tarah zid kar raha hai,contradictory,"डॉ। स्वामी : आप कानून जानते हैं अश्विन .. जांच अधिकारी नार्को टेस्ट में मौजुद नहीं रह सकते .. ## डॉ। स्वामी: अश्विन बच्चों की तरह ज़िद मत करो.. मैं इसमें मदद नहीं कर सकता, कृपया .. ## अश्विन: अच्छा फोन दो अपना। ## डॉ। स्वामी : किस फोन लगा रहे हो? ## अश्विन : खुद को ? (वह उसे फोन वापस देता है ## लो बात करो। अश्विन ## हैलो डॉ। स्वामी? कैसी हैं?: डॉ स्वामी ## अश्विन क्या है ये?: अश्विन ## लाइव टेलीकास्ट। ये तो कानून में माना नहीं है ना? और परीक्षण के दौरा कोई समाधान सूझा तो मैं डॉ मोहंती को पाठ करुंगा। जये एंडर। डर हो रही है।: ##",डॉ। स्वामी बच्चे की तरह जिद कर रहा है
1123,"CLERK : Yeh ? ## CLERK : Yeh toh guzar gaya . Haadsa ho gaya ek . ## DEVI : Iski ye file hai humaare paas . Kuch paise baaki hain , ek do books bhi hain uski jo lautani hain . Aap pata de sakte hain ? ## CLERK : Number hai ghar ka . Ye addresss hai unka Allahabad mein . Note karo . Par bolna mat kahin ki maine diya hai . ## ",Clerk ke saath ek haadsa ho gaya,contradictory,"क्लर्क : हाँ? ## क्लर्क : ये तो गुजर गया। हडसा हो गया एक। ## देवी : इसकी ये फाइल है हमारे पास। कुछ पैसे बाकी हैं, एक दो किताबें भी हैं उसकी जो लौटनी हैं। आप पता दे सकते हैं? ## क्लर्क : नंबर है घर का। ये एड्रेस है उनका इलाहाबाद में। नोट करो। पर बोलना मत कहीं की मैंने दिया है। ##",क्लर्क के साथ एक हडसा हो गया
1124,"RAMA: : Thak gayi na meri Lado ## RAMA: : Dekh ? Yahi waala tha na ? Mujhe yaad hain beta , mamma ko yaad hain ## HARISH : Meri 3d , 4d ho gayi Aneesh , Daddy's dead darling daughter ho gayi ## JATIN: : Neerja ki mamma ? ## JATIN: : Neerja Aunty ne aapke liye message bheja hain ... ## ",Neeraja ki Aunty ne message bheja hai,contradictory,"रामा: : ठक गई न मेरी लाडो ## रामा: : देख ? यही वाला था ना? मुझे याद है बेटा, मम्मा को याद है ## हरीश: मेरी 3डी, 4डी हो गई अनीश, डैडी की मृत प्यारी बेटी हो गई ## जतिन: : नीरजा की मम्मा? ## जतिन: : नीरजा आंटी ने आपके लिए संदेश भेजा है... ##",नीरजा की आंटी ने संदेश भेजा है
1125,FALAK : Kuchh legal term use k i thi ... consultation nahi kuchh ... haan conference - toh un sab lawyers ne- ## DEEPAK : Blocking fees ! ## FALAK : Haan ... toh un sabne mana kiya ... bola Minal ko isliye represent nahi kar saktey ! ## DEEPAK : Haan - Legally nahi ! ## ANDREA : But th ere is on e law yer wh o i s willing to represent us ! ## DEEPAK : Who ? ## ANDREA : Rajeev Kumar ! ## DEEPAK : No . Not him . Chor hai ek number ka . I know him . ## FALAK : Maine ... Minal ko itna helpless kabhie nahi dekha ! She used to be a brave girl . ## ANDREA : What should we do then ? ## FALAK : Sir ... we are not prostitutes ! / We are normal working girls / Humney kuchh nahi kiya ! ## ,Rajeev Kumar is willing to represent. ,entailment,फलक : कुछ कानूनी शब्द का प्रयोग के आई थी ... परामर्श नहीं कुछ ... हां सम्मेलन - तो उन सब वकीलों ने- ## दीपक : ब्लॉकिंग फीस! ## फलक : हां ... तो उन सब मन किया ... बोला मीनल को इसलिये प्रतिनिधित्व नहीं कर सकते ! ## दीपक : हां - कानूनी तौर पर नहीं ! ## एंड्रिया : लेकिन यह ई कानून पर है जो मैं हमारा प्रतिनिधित्व करने को तैयार हूं! ## दीपक : कौन ? ## एंड्रिया : राजीव कुमार ! ## दीपक : नहीं। उसे नहीं । चोर है एक नंबर का। मैं उसे जानता हूँ । ## फलक : मैने... मीनल को इतना असहाय कभी नहीं देखा! वह एक बहादुर लड़की हुआ करती थी। ## एंड्रिया : तो हमें क्या करना चाहिए ? ## FALAK : साहब... हम वेश्या नहीं हैं! / हम सामान्य कामकाजी लड़कियां हैं / हमने कुछ नहीं किया! ##,राजीव कुमार प्रतिनिधित्व करने को तैयार हैं।
1126,"MARIAM : Aap yahaan fees ke liye aaye hain ? ## SHAHID : Nahin .. ## MARIAM : Jitne lawyers main dekh chuki hoon , log apni poori zindagi mein nahin dekhte . Lucky people . Shahid stays quiet ... ## MARIAM : Maine koshish ki but nahin ho saka . Main property sale ka ek %age de sakti hoon .. ## SHAHID : Sir ne ... ## MARIAM : Kya ? ## SHAHID : Paise hearing se pahle chahiye . ## MARIAM : I cant ... ## SHAHID : I am really sorry ... ## MARIAM : Please go ... ## ",MARIAM ne hearing se pahle Paisa dene se mana kar diya. ,entailment,"मरियम : आप यहां फीस के लिए आए हैं? ## शाहिद: ​​नहीं .. ## मरियम: जितने वकील मैं देख चुकी हूं, लोग अपनी पूरी जिंदगी में नहीं देखते। भाग्यशाली लोग । शाहिद चुप रहते हैं... ## मरियम: मैंने कोशिश की लेकिन नहीं हो सका। मुख्य संपत्ति बिक्री का एक% उम्र दे शक्ति हूं .. ## शाहिद: ​​सर ने ... ## मरियम: क्या? ## शाहिद : पैसे सुनने से पहले चाहिए। ## मरियम : मैं नहीं कर सकता ... ## शाहिद : मुझे सच में खेद है ... ## मरियम : कृपया जाओ ... ##",मरियम ने हियरिंग से पहले पैसा देने से मन कर दिया।
1127,"SANDHYA : Namaste Bijay bhaiyya . ## BIJAY : Namaste Bhabhi . Aap is taraf ... ## SANDHYA : Kuch jaroorat ka samaan lena tha . ## BIJAY : Batao - sewa mein haajir hai devar . Chai campa kuch mangaoon . ## SANDHYA : Nahin , thank you . ## BIJAY : Akeli aayi ho , Prem ko kahan dukaan pe hee chorr aayi . ## SANDHYA : Nahin ... bindi nail paalish nahin chahiye . (pointing at the undergarment boxes) Us tarah ka kuch ho to dikha do . ## BIJAY : Didi dikhayengi , main jara kuch likha padi kar raha hoon . ## SANDHYA : Andar aajao . ## PREM : Nahin tum khareed lo jo tumhein khareedana hai . ## ",BIJAY PREM ke saath aayi hai,contradictory,"संध्या: नमस्ते बिजय भैया। ## बिजय : नमस्ते भाभी। आप तारफ है... ## संध्या: कुछ जरूरत का सामान लेना था। ## बिजय : बताओ-सेवा में हाजीर है देवर। चाय कैम्पा कुछ मूंग। ## संध्या : नहीं, धन्यवाद। ## बिजय: अकेली आई हो, प्रेम को कहां दुकान पे ही चोर आई। ## संध्या : नहीं... बिंदी कील पलिश नहीं चाहिए। (अंडरगारमेंट के बक्सों की ओर इशारा करते हुए) हमें तराह का कुछ हो तो दीखा दो। ## बिजय: दीदी दिखेंगी, मैं जरा कुछ लिखा पाडी कर रहा हूं। ## संध्या : अंदर आओ। ## प्रेम : नहीं तुम खरीद लो जो तुम खड़ीना है। ##",बिजय प्रेम के साथ आई है
1128,SHAMBHU : Koi bada accident hua hai ... ## BABA : Deepak beta ... jaao agni laa ke do inhein ... ## DEEPAK : Haan Baba ... ## SIKANDAR : Arre idhar lagaao na ... idhar hai toh jagah ! ## SIKANDAR : Arre jalaao na ... apna ghaat hai ki ! ## SIKANDAR : Ae Deepak ... idhar chita banwaao ... 4 aa jaayegi idhar . ## GRIEVING MAN : Teerath pe gaye they sab .... poori Bus ganga ji mein gir gayi ... Sanstha wale sab body yahin laye hain . ## ,SIKANDAR ne nahin jalane ko kaha. ,contradictory,शंभू : कोई बड़ा एक्सीडेंट हुआ है ... ## बाबा : दीपक बेटा ... जाओ अग्नि ला के दो हैं ... ## दीपक : हां बाबा ... ## सिकंदर : अरे इधर लगाओ ना ... इधर है तो जग! ## सिकंदर : अरे जलाओ ना... अपना घाट है की! ## सिकंदर : ऐ दीपक... इधर चिता बनवाओ... 4 आ जाएगी इधर। ## शोक करने वाला आदमी: तीरथ पे गए वे सब .... गरीब बस गंगा जी में गिर गई ... संस्था वाले सब शरीर याहिन लाए हैं। ##,सिकंदर ने नहीं जलाने को कहा।
1129,"DEBDAS : Aap logon ko yahaan khudaai karni hai , kya karna hai ... ## DEBDAS : To ... (imitating Dev Anand) Phir savaal ye hai ki ... aapko khodna aata hai ? ## DEBDAS : Very good ... ## DEBDAS : Hum khod rahe hain kyonki ... zameen hai , usse ... khodte hain ... ## DEBDAS : Andar hi to hai jo hai ... baahar to sirf ... ## DEBDAS : Vah ... bhai mujhe nahin pata ... bade saahab ko pata hai ... ## DEBDAS : Ye theek hai ... ## ",DEBDAS ne kaha ki jo hai andar hi hai. ,entailment,"देबदास : आप लोगों को यहां खुदाई करनी है, क्या करना है... ## देबदास : तो ... (देव आनंद की नकल करते हुए) फिर सवाल ये है की ... आपको खुदा आता है? ## देबदास : बहुत अच्छा ... ## देबदास : हम खोड रहे हैं क्यों ... जमीन है , उसे ... खोदते हैं ... ## देबदास : अंदर ही तो है जो है ... बहार तो सिरफ । .. ## देबदास : वाह ... भाई मुझे नहीं पता ... बड़े साहब को पता है ... ## देबदास : ये ठीक है ... ##",देबदास ने कहा की जो है अंदर ही है।
1130,"SHAHID : Mujhe yakin hai . They all look elated . Shahid stands up . ## SHAHID : Kuuch hota hai toh batata hoon . Starts walking as the bickering begins .. ## 5TH MAN : Tu kya bol raha tha abhi . ## FIRST MAN : Jo bola suna nahin kya ?... ## 5TH MAN : Ruk tere ko batata hoon , leader banta hai tu yahaan ka . Shahid turns back . ## SHAHID : Apne mein ladna band karo . ## 6TH MAN : Arrey inka roz ka hai , aap jao bhai . ## ",SHAHID starts walking,entailment,"शाहिद: ​​मुझे याकिन है। वे सभी उत्साहित दिख रहे हैं। शाहिद खड़े हो गए। ## शाहिद : कुछ होता है तो बताता हूं। कलह शुरू होते ही चलने लगती है.. ## 5वां आदमी : तू क्या बोल रहा था अभी। ## पहला आदमी: जो बोला सुना नहीं क्या? ## 5वां आदमी: रुक तेरे को बताता हूं, नेता बंता है तू यहां का। शाहिद पीछे मुड़े। ## शाहिद : अपने में लाना बंद करो। ## छठा आदमी : अरे इनका रोज का है, आप जाओ भाई। ##",शाहिद ने चलना शुरू किया
1131,NAVEEN : Kuchh likhna nahin hai ispar ? ## KK : Abe wahi toh trick hai . Hum bolenge - 'Jab tum saamne hoti ho toh sab bhool jaate hain . Likhna bhi bhool gaye . ' ## PUSHPI : Chappal maaregi dekhna ! ## KK : Deepakwa ... aa na ! ## RUPPAN : Hum bike start kar rahe hain ... donon pitne lage toh ... ## ,Dono KK ko pitne wale hain.  ,contradictory,नवीन : कुछ लिखना नहीं है इसपर ? ## केके: अबे वही तो ट्रिक है। हम बोलेंगे - 'जब तुम सामने होते हैं तो सब भूल जाते हैं। लिखना भी भूल गए। ' ## पुष्पी : चप्पल मारेगी देखना ! ## केके : दीपकवा... आ ना ! ## रूपपान : हम बाइक स्टार्ट कर रहे हैं... दून पिटने लगे तो... ##,दोनो केके को पिटने वाले हैं।
1132,"FATHER : Papa aap betho .. Sunita !! ## MOTHER : What does she think by getting these cookies she'll .. Bahar nikal , mere ghar se .. Bahar !! ## BOOBLY : Bhaiya main rokun kya ? ## WASIM : Tu please mere baap involve mat ho ! ## RAHUL : Maa , kisi ko lag jayegi .. Neeche rakho .. Maa .. Tujhe ek kaam bola tha .. Paanch minute ke liye mummy ko andar nahin rakh sakta tha .. ## ARJUN : Itni der se rok rakha tha yaar , Kitchen mein hi nikal jaata .. ## GRAND DAD : Mere birthday par is gobar ko kyoun bulaya .. ## FATHER : Chowdhary kaka main maafi mangta hun aapse .. Please-- Is ghar mein hum mehmaanon se tameez se baat kar sakte hain ya nahin !!! ## MOTHER : Shakal mat dikhana mujhe apni-- ## GRAND DAD : Mehmaan ki maa ki ! ## ",FATHER ne Chowdhary kaka ko maafi mangne ko kaha. ,contradictory,"पिता : पापा आप बेथो.. सुनीता !! ## माँ : इन कुकीज़ को पाकर वह क्या सोचती है .. बहार निकल , मेरे घर से .. बहार !! ## BOOBLY : भैया मैं रोकूं क्या ? ## वसीम : तू प्लीज़ मेरे बाप में मत हो! ## राहुल: मां, किसी को लग जाएगी.. नीच राखो .. मां .. तुझे एक काम बोला था .. पांच मिनट के लिए मम्मी को और नहीं रख सकती थी .. ## अर्जुन: इतनी दूर से , किचन में ही निकल जाता है.. ## ग्रैंड डैड: मेरे बर्थडे पर है गोबर को क्यों बुलाया.. ## पिता: चौधरी काका मैं माफ़ी मांगता हूं आपसे.. है या नहीं !!! ## माँ : शकल मत दिखाना मुझे अपनी-- ## दादा : महमान की माँ की ! ##",फादर ने चौधरी काका को माफ़ी मांगने को कहा।
1133,"DR. SWAMY : Yeh Sodium Pentothal hai .. Is se tumhe thoda nasha jaisa hoga , neend aayegi lekin tum jagey hi rahoge .. ## DOCTOR : He's stable .. You can begin . ## DR. SWAMY : Kanhaiya .. ## DR. SWAMY : Kanhaiya .. ## KANHAIYA : Haan saab ... ## ",KANHAIYA is not stable,contradictory,"डॉ। स्वामी : ये सोडियम पेंटोथल है .. इस से तुम्हें थोड़ा नशा जैसा होगा, जरूरत आएगी लेकिन तुम जाएंगे ही रहेंगे .. ## डॉक्टर: वह स्थिर है .. आप शुरू कर सकते हैं। ## डॉ। स्वामी : कन्हैया.. ## डॉ. स्वामी : कन्हैया .. ## कन्हैया : हां साहब ... ##",कन्हैया स्थिर नहीं है
1134,DEEPAK : Bhaai ... bhaai ... idhar aa ! ## SIKANDAR : Bol ... ## DEEPAK : Yeh ... ek selfie kheench de na ! ## SIKANDAR : Kya ? ## DEEPAK : Photo ... photo kheench . ## DEEPAK : Arre ee chita nahin aana chaahiye ... udhar se le na . ## DEEPAK : Jaldi se kheench de na bhaai ek aur . ## ,DEEPAK SIKANDAR ko ek ke baad dusari Photo bhi lene ko keh raha hai. ,entailment,दीपक : भाई... भाई... इधर आ! ## सिकंदर : बोल... ## दीपक : ये... एक सेल्फी खीच दे ना ! ## सिकंदर : क्या ? ## दीपक : फोटो... फोटो खींच। ## दीपक : अरे ई चिता नहीं आना चाहिए... उधार से ले ना। ## दीपक : जलदी से खेंच दे ना भाई एक और। ##,दीपक सिकंदर को एक के बाद दुसरी फोटो भी लेने को कह रहा है।
1135,DEVI : Bahut dinon se kheer nahin banaayi ... ## PATHAK : Bas ... ho gaya .. ## DEVI : Khaa lijiye ... itni pasand toh hai aapko ! ## DEVI : 1 mahina ho gaya aaj . 16 hazaar mile hain . ## PATHAK : Tum ghar chhorh ke jaana chaahti ho ? ## PATHAK : Hai na ? ## DEVI : Haan . ## DEVI : Ye case nahin hota toh ab tak ... Main shaayad akele rahne ke liye bani hoon . ## DEVI : Allahabad University mein ek course hai ... wo karne ka mann hai . Wahin kisi coaching mein kaam dhoondh loongi . ## PATHAK : Hmmmm . ## PATHAK : Abhi 3 Lakh mein se 1 hi hua hai . Bank mein 50 hazaar ki FD hai ... tudwa lenge . Baaki 1 . 5 ka dekhna padega kahin se . Uske baad jahaan jaana hai chali jaana ... ## ,',entailment,देवी : बहुत दिनों से खीर नहीं बनायी... ## पाठक : बस ... हो गया .. ## देवी : खा लिजिये ... इतनी पसंद तो है आपको ! ## देवी : 1 माहिना हो गया आज। 16 हजार मिले हैं। ## पाठक : तुम घर छोर के जाना चाहता हो? ## पाठक : है ना? ## देवी : हां। ## देवी : ये मामला नहीं होता तो अब तक... मैं शायद अकेले रहने के लिए बनी हूं। ## DEVI : इलाहाबाद यूनिवर्सिटी में एक कोर्स है... वो करने का मन है। वही किसी कोचिंग में काम ढूंढ लूंगी। ## पाठक: हम्म्म्म। ## पाठक : अभी 3 लाख में से 1 ही हुआ है। बैंक में 50 हजार की एफडी है... टूटवा लेंगे। बाकी 1. 5 का देखना पड़ेगा कहीं से। उसके बाद जहान जाना है चली जाना... ##,'
1136,MISRA : ISI keh rahi hai chaar sir ... ## MEA MINISTER : Ashwini ... Are they any good ? PTV pe toh nahi dekhna padega unhe ? Jaldi se press brief banao ... Aur pray karo ke yeh un chaaron se judi hui aakhiri news ho ... ## PM : Ussey pehle mujhe tumhara resignation letter chahiye ... ## MISHRA : Sir ... Woh Pakistan mein pakdey gaye toh hum bahut embarrass hongey ... I can handle it sir ... ## ,MEA MINISTER Ashwini ko press brief banane ko keh rahi hai,entailment,मिश्रा: आईएसआई कह रही है चार सर ... ## विदेश मंत्री: अश्विनी ... क्या वे अच्छे हैं? पीटीवी पे तो नहीं देखना पाएगा उन? जल्दी से प्रेस ब्रीफ बनाओ ... और प्रार्थना करो के ये उन चारों से जुडी हुई आखिरी न्यूज हो ... ## अपराह्न: उसे पहले मुझे तुम्हारा इस्तीफा पत्र चाहिए ... ## मिश्रा: सर ... वो पाकिस्तान में पकेडे गए तो हम बहुत शर्मिंदा होंगे ... मैं इसे संभाल सकता हूं सर ... ##,विदेश मंत्री अश्विनी को प्रेस ब्रीफ केले को कह रही है
1137,"MOM : tujhey itti der se phone kar rahey hain ... yeh kaun hai ? ## RANI : Mummy yeh meri friend Laxmi ## MOM : Laxmi ? ## DAD : namaste namaste ## VIJAYLAXMI : Daddy ! Namaste ... ## DAD : Call me ashwini , actually ashu ## RANI : Indian hai ... thodi si ## DAD : Dikh raha hai ## MOM : Beta hum chalte hai , tum achche logon ki company mein rehna , (after a pause) tu aankhein kyun nahin jhapak rahi ## RANI : Nahin nahin ... jhapak to rahi hoon ... main to aapko aisey hi ... dhyaan se dekh rahi hoon ... ## MOM : Dhyaan se to yeh dekh rahey hain ... ## ",Mom aankhein nahi blink kar rahi,contradictory,"माँ : तुझे इतनी डर से फोन कर रहे हैं... ये कौन है? ## रानी : मम्मी ये मेरी दोस्त लक्ष्मी ## माँ : लक्ष्मी ? ## पिताजी : नमस्ते नमस्ते ## विजयलक्ष्मी : पिताजी ! नमस्ते ... ## पिताजी: मुझे अश्विनी बुलाओ, वास्तव में आशु ## रानी: भारतीय है ... थोड़ी सी ## पिताजी: दिख रहा है ## माँ: बेटा हम चलते हैं, तुम अच्छे लोगों की कंपनी में रहना, ( एक विराम के बाद) तू आंखें क्यों नहीं झपक रही ## रानी: नहीं नहीं ... झपक से रही हूं ... मैं तो आपको ऐसी ही ... ध्यान से देख रही हूं ... ## माँ: ध्यान से तो ये देख रहे हैं... ##",मॉम आंखें नहीं पलक कर रही हैं
1138,"SHAHID : Nahin kiya . ## RAJESH : Ruthe ho ? ## SHAHID : Nahin ... ## RAJESH : Phir ? ## SHAHID : Because , I am such a fool ## RAJESH : Nahin . Prachand murkh . Shahid smiles ... They start walking ... ## SHAHID : Main nahin karoonga follow up . ## RAJESH : Kranti ? ## SHAHID : Kranti ? Bas yeh dekh kya sahi hai . ## RAJESH : Kya hai ... ## SHAHID : Sirf paisa nahin , har samay nahin . ## ",SHAHID ne kaha ki main rutha nahin hoon. ,entailment,"शाहिद: ​​नहीं किया। ## राजेश : रूठे हो? ## शाहिद : नहीं... ## राजेश : फ़िर ? ## शाहिद : क्योंकि, मैं कितना मूर्ख हूँ ## राजेश : नहीं। प्रचंड मुर्ख। शाहिद मुस्कुराते हैं... वे चलने लगते हैं... ## शाहिद : मैं नहीं करूंगा फॉलो अप। ## राजेश : क्रांति ? ## शाहिद : क्रांति ? बस ये देख क्या सही है। ## राजेश: क्या है... ## शाहिद: ​​सिर्फ पैसा नहीं, हर समय नहीं। ##",शाहिद ने कहा की मैं रूठा नहीं हूं।
1139,"RAHUL : Aise hi chala jayega .. Bina kisi se baat kiye . ## RAHUL : Mom ko humari zaroorat hai Arjun . ## ARJUN : Mom ko humari nahin tumhari zaroorat hai . ## RAHUL : Mujh se toh woh baat bhi nahin kar rahi .. Aur shaayad kabhi nahin karengi . ## ARJUN : Nothing you can do will ever disappoint her . ## RAHUL : What if I told you I have lied to her my whole life , and I've no interst in Tia or any other girl for that matter ? ## RAHUL : You don't have to say anything .. Just stay back a little longer .. ## ARJUN : I can't . I need sometime . ## DHARAMENDRA : Taxi aa gayi hai . ## ",RAHUL bina kisi se baat kiye ja raha hai,contradictory,"राहुल: ऐसे ही चला जाएगा.. बिना किसी से बात की. ## राहुल : माँ को हमारी ज़रूरत है अर्जुन। ## अर्जुन : माँ को हमारी नहीं तुम्हारी ज़रूरत है। ## राहुल : मुझसे तो वो बात भी नहीं कर रही.. और शायद कभी नहीं करेंगे. ## अर्जुन : आप जो कुछ भी कर सकते हैं वह उसे कभी निराश नहीं करेगा। ## राहुल: क्या होगा अगर मैंने तुमसे कहा कि मैंने उससे पूरी जिंदगी झूठ बोला है, और मुझे उस मामले के लिए टिया या किसी अन्य लड़की में कोई दिलचस्पी नहीं है? ## राहुल : तुम्हें कुछ कहना नहीं है.. बस थोड़ी देर और रुक जाना.. ## अर्जुन : मैं नहीं कर सकता. मुझे थोड़ा वक्त चाहिये । ## धर्मेंद्र : टैक्सी आ गई है। ##",राहुल बिना किसी से बात किया जा रहा है
1140,SONAL : Lo bhai le aayi main tera passport aur ticket ## SONAL : Tujhsey zyada to main excited hoon ... ke finally tera vrat to tootega ... ## RANI : Chup kar paagal mummy sunn legi ## SONAL : Truousseau wala suitcase hai ? ## RANI : Nahin voh to voh pada ... yeh honeymoon wala ## RANI : Hai na achhey suit ? ## SONAL : kya fayda ## RANI : Kyun ? ## SONAL : Peheney ka chance kahan dega voh ## RANI : Chhee ## SONAL : Lingaree li ? ## RANI : Haan lovable ki satin wali ## SONAL : Aur negligee ? ## RANI : Matlab ? ## SONAL : Main janti thi ... main cheez to tu le ke nahin ja rahi ... ## RANI : Hawwww ## SONAL : Hai na ## ,SONAL ne kaha ki suit achhey nahin hai. ,contradictory,सोनलः लो भाई ले आई मैं तेरा पासपोर्ट और टिकट है? ## रानी : नहीं वो तो वो पड़ा ... ये हनीमून वाला ## रानी : है ना अच्छे सूट ? ## सोनल : क्या फ़ायदा ## रानी : क्यूं ? ## सोनल: पहनने का मौका कहां देगा वो ## रानी: छे ## सोनल: लिंगरी ली? ## रानी : हां प्यारी की साटन वाली ## सोनल : और लापरवाही ? ## रानी : मतलाब ? ## सोनल : मैं जनता थी ... मैं चीज तो तू ले के नहीं जा रही ... ## रानी : हवा ## सोनल : है ना ##,सोनल ने कहा का सूट अच्छा नहीं है।
1141,"NEELU : Kya hua ? ## TITLI : Ek mint . Kaam hai ek aur . ## TITLI : Call kitte ki ? ## PCO GUY : Do rupaye . ## TITLI : Haanji mandi chowki ? Khabar deni hai ek . Jaipur highway , hindon chowk pe dakaiti ka plan hai aaj . Ek karor ki . Do bande gaadi se churayenge , DL-1512 number . Rok sako toh rok lo . ## TITLI : K a r n a j a r o o r i h a i . Roka nahi u n k o , seedha mere tere peeche aayenge . ## ",PCO GUY ne call karke robbery ki khabar di,contradictory,"नीलू : क्या हुआ ? ## तितली : एक टकसाल। काम है एक और। ## तितली : किट्टे की बुलाओ ? ## PCO GUY : करो रुपये। ## तितली : हांजी मंडी चौकी ? खबर देना है एक। जयपुर हाईवे, हिंडन चौक पे डकैती का प्लान है आज। एक करोर की। दो बंद गाड़ी से चुरेंगे, डीएल-1512 नंबर। रोक साको तो रोक लो। ## तितली : के ए आर एन ए जे ए आर ओ ओ आर आई एच ए आई। रोका नहीं यू एन के ओ, सीधा मेरे तेरे पीछे आएंगे। ##",पीसीओ लड़के ने कॉल करके डकैती की खबर दी
