,premise,hypothesis,labels,english_premise,english_hypothesis
1093,ARJUN : Hum kaun sa picture dekhne ja rahe hain ? ## ROHAN : Koi si bhi nahin . ## ARJUN : Lekin aapne to chacha ko bola ki hum ... ## ROHAN : Humne kissi ko kuch nahin bola . ## ARJUN : Humko Saif Ali Khan ki picture dekhna hai . ## ROHAN : Humko na to Saif Ali Khan dekhna hai na uski picture ... ## ARJUN : Hum sir ko bol denge ki tum unka car chura ke chalaate ho ... ## ROHAN : Tum ek shabd bhi unko bol ke dekho . Maar maar ke tumhaara bhurta bana ke litti ke saath kha nahin gaye to hum Rohan nahin . ## ROHAN : Ek choo nahin karoge tum kissi ko bhi ... samjhe ? ## ARJUN : Tum bilkul sir jaise ho . ## ,ROHAN bilkul Sir jaisa hai,entailment,"Arjun: Which picture are we going to see? ## Rohan : None at all. ## Arjun: But you told uncle that we... ## Rohan: We didn't say anything to anyone. ## Arjun: We have to see the picture of Saif Ali Khan. ## Rohan: We don't have to see Saif Ali Khan or his picture... ## Arjun: We will tell sir that you stole his car and went away... ## Rohan: You look at him by uttering a single word . If you don't go with the litti, then we are not Rohan. ## Rohan: You will not do a chu, you will understand anyone... ## Arjun: You are just like Sir. ,",Rohan is just like sir
1094,VIKRAM : Voh dekh ... doosri picture chal rahi hai ... uss ki biwi ghar pe so rahi hogi aur saala yahaan ayyaashi kar raha hai ... Oye uncle ... ## MUNINDER : Kya hua ? ## MUNINDER : Kaun hai ? ## MUNINDER : Rathod !? ## BENOY : Chhod na ... ## ,Uski biwi ghar pe so rahi hai.,contradictory,Vikram: See that... another picture is going on... His wife must be sleeping at home and brother-in-law is playing deceit here... O Uncle... ## Muninder: What happened? ## Muninder: Who is it? ## Muninder : Rathod!? ## Benoy : Chhod Na... ##,The same wife is sleeping at home.
1095,DEEPAK : Bol kaunsa raag hai ? ## DEEPAK : Andar aao ! Baitho ! ## DEEPAK : Yeh wala kaunsa ? ## DEEPAK : Chal tu kuchh suna ! ## VENDOR : Hum sir ... hum ... humko toh sirf gaon ka - ## DEEPAK : Suna ! ## VENDOR : Aah - ## DEEPAK : Sunao - sunao - ## SINHA : Aaj kaun phansa ? ## GUPTA : Akhbar wala ! ## ,raag ka naam Andar aao Baitho hai. ,contradictory,"Deepak: Which raga is speaking? ## Deepak : Come in! have a sit! ## Deepak: Which one is this? ## Deepak: Come on, you heard something! ## Seller : Hum sir ... we ... we are from Sirf village - # # Deepak : Heard! ## Seller : Ah - # # Deepak : Suno - recite - # # Sinha : Who hanged today? ## Gupta: The newspaper man! ,",The name of the raga is Come in and sit.
1096,"PRINCE : Ritu cha pilayin ! ## PRINCE : Aaja , papa ko pyari karde . Happy Birthday bol de sher mere ! ## PRINCE : Papa ko pyari nahin karna ? Achcha koi na . KOINA ! ## PRINCE : Armani wala scent bhi laga lun . Fir khush hogi ?! ## TITLI : Nahin , woh .. Gift hai ji birday ka . ## PRINCE : Chawlaji ke idhar se aaye ? Bola tha unhone mujhe . ## PRINCE : Haan . ## TITLI : Achcha ji main chalta hun . ## ", pyari karane ke liye PRINCE ko Armani wala scent lagana hoga.,contradictory,"Prince: Ritu Cha Pilayin! ## Prince: Come on, love Papa. Happy Birthday Bol De Sher Mere! ## Prince: Don't love Papa? Well no one Koina! ## Prince: I should also apply fragrance of Armani. Will you be happy again?! ## Butterfly: No, that.. is a gift from Barday. ## Prince: Chawlaji's come from here? He told me. ## Prince: Yes. ## Butterfly : Alright, I'll go. ,","In order to be beloved, the prince has to apply the fragrance of Armani."
1097,DHANIRAM : School mein koi problem ? Koi boyfriend ..? ## NUTAN : She was just 14 years old . ## DHANIRAM : Best friend koi ladka ? ## DHANIRAM : Ya ladki ? ## RAMESH : Why don't you understand ? Its Khempal ! Ghar mein 4 log thhe . Do zinda hain .. ek dead aur ek gaayab . I will appreciate it officer if you will stop wasting your time ## ,Ghar me 4 log they,entailment,Dhaniram: Any problem in school? Any boyfriend..? ## Nutan : She was just 14 years old. ## Dhaniram: Best friend any boy? ## Dhaniram : Or girl? ## Ramesh: Why don't you understand? Its keeper! 4 people in the house. Two are alive.. one dead and one singer. I will appreciate it officer if you will stop wasting your time ##,4 people in the house
1098,"WIFE : Aye le lo na glow wala .. ## HUSBAND : Achcha tenu raati dikhda nahi ? ## WIFE : Achcha phir aye le lo , monkey wala ## HUSBAND : Monkey wala ? Main tenu monkey dikhda ? ## WIFE : Achcha phir aye le lo , check wala ## HUSBAND : Achchaaa aye check wala te shirt stripe wali ... ## ",wife ne kaha glow wala le lo,entailment,"Wife : Aye le lo na glo wala .. ## Husband : Nice Tenu, didn't you see the night? ## Wife: Well then take it, the monkey man ## Husband: the monkey? I saw the tenu monkey? ## Wife : ok then take a check, ## Husband : ok a check te shirt striped ... ##",wife said take glow wala
1099,BHAIRAV : Tumhara result kab aa raha hai ? ## ROHAN : Aaj ... ## BHAIRAV : Kitna expect kar rahe ho ? ## ROHAN : Pass ho jaaonga ... ## BHAIRAV : Tumhara standard kya hamesha se he itna neeche raha hai ? Pass ho jaaonga ... ## BHAIRAV : Aaj Delhi se bade clients aa rahe hain ... Bada order hai .. ## ,ROHAN ka  result aaj aa raha hai.,entailment,Bhairav: When is your result coming? ## Rohan : Today... ## Bhairav ​​: How much are you expecting? ## Rohan : It will pass... ## Bhairav ​​: Your standard Is he so low from us? Will pass... ## Bhairav ​​: Today big clients are coming from Delhi... Big order.. ##,Rohan result is coming today.
1100,"SHAHID : Bhai , Law assistant ki opening mili hai . Maqbool Menon ke saath . ## ARIF : Good . ## SHAHID : Job chodna padega . ## ARIF : Journalist wali ? Kaise chalega ? ## SHAHID : Main bhi yahi soch raha tha . Shahid looks down as he walks . Arif who is curious for his reaction keeps looking as they walk but Shahid avoids to look up . ## ARIF : Kuuch milega ? ## SHAHID : Haan , Bhai . Arif asks how much without saying . ## SHAHID : 2 hazaar . ## SHAHID : Kaise karenge ? ## ARIF : Tension mat lo . Hai ek idea . ## SHAHID : Ok ## ARIF : Ab ghar jaa .. Shahid starts walking as Arif stands there . ## ARIF : Zyaada der ruke mat rahna yahaan Shahid looks back and makes an eye contact . ## SHAHID : Dekh lena , 2 saal mein log mujhe jaanenge , bhai . ## ",ARIF keh raha hai ki 2 hazaar enough hai. ,contradictory,"Shahid: Brother, the law assistant's opening has been received. With Maqbool Menon. ## Arif: Okay. ## Shahid: Will have to leave the job. ## ARIF: Journalist Wali? How will it go? ## Shahid: I was thinking the same. Shahid looks down while walking. Arif who is eager for his reaction, keeps on watching but Shahid avoids looking up. ## Arif: Will you get something? ## Shahid: Yes, brother. Arif asks how much without saying. ## Shahid: 2 thousand. ## Shahid: How will you do? ## ARIF: Take the tension mat. High one thought. ## Shahid : Ok ## Arif : Now go home.. Shahid starts walking as soon as Arif stands up. ## ARIF : Don't stay too long Here Shahid looks back and makes eye contact. ## Shahid: Look, people will know me in 2 years, brother. ,",ARIF has maintained that 2 thousand is enough.
1101,"LADY : Tumhein bar license nahin milega ? ## SHAHID : Kyon ? ## LADY : Kyon ? Kyonki tum terrorist thay . Tum 5 saal jail mein thay . ## SHAHID : Please ek baar rule book mein criteria check kar lijiye . ## LADY : Tum sikhaoge mujhe mera kaam ? ## SHAHID : Sorry . Mujhe pata hai aap yahaan 20 saal se hain . Aur jisse bhi suna hai aapke baare mein , achcha hi suna hai . But Madam , I am eligible . Maine kabhi bankruptcy file nahin ki hai na Koi naityik bhrastachar . Sirf in grounds par mera application reject ho sakta hai . ## LADY : Ok .. Let me check . ## LADY : Main yahan 20 saal se nahin 12 saal se hoon . ## ",SHAHID ne bankruptcy file ki hai,contradictory,"Lady: You won't get the bar license? ## Shahid: Why? ## Lady: Why? Because you were a terrorist. You were in prison for 5 years. ## Shahid: Please check the criteria in the rule book once. ## Lady: Will you teach me my work? ## Shahid: Sorry. I know you've been here for 20 years. And everyone who has heard has heard about you very well. But ma'am, I am eligible. I have never filed bankruptcy or any moral corruption. Just on the ground my application may get rejected. ## Lady : Alright.. let me see. ## Woman: I have been here not for 20 years but for 12 years. ,",Shahid has filed for bankruptcy
1102,RITA : Ruk jao 5 minute .. ## PUSHPA : Kya hua ? Kahan ? Koi aaya hai ? Kya ? Arre kya haath nacha rahe ho ? Hain- kya ho gaya- saanp ? Saanp aa gaya ? ## MOTHER : Gardan mein kuch ho gaya ? Phir- kaan mein- dikhao .. Phone ? ## MOTHER : Kisko phone karna hai ? Doctor ko ? Arre kya ho gaya ? Likh ke bata do .. ## RITA : Kya hua Bauji ? Sab theek .. Bauji makes a resigned gesture . ## ,RITA PUSHPA ko rok raha hai,entailment,"Rita: Wait 5 minutes.. ## Pushpa: What happened? say? someone has come? What? Hey what are you doing? What happened? Has the snake arrived? ## Mother: Did something happen in the garden? ya-in-ear-show .. phone? ## Mother: Whom to call? to the doctor? Hey what's wrong? Tell me in writing.. ## Rita: What happened Bauji? All right.. Bauji resigned. ,",Rita is stopping Pushpa
1103,"NUTAN : Khempal .. Khempal . ## BASANTI : Didi , main neeche jaati hoon , aap duplicate chaabi phenko .. ## NUTAN : Ramesh ! ## NUTAN : Dekho Khempal kya kar gaya ! ## ",Khempal did something wrong. ,entailment,"Nutan: Khempal.. Khempal. ## Basanti: Didi, I go downstairs, you throw the duplicate key.. ## Nutan: Ramesh! ## Nutan: Look what Khempal has done! ,",Khempal did something wrong.
1104,"PATHAK : Kuchh bolegi ki sab khud-hi maan lein ? ## DEVI : Kya sun-na chaahte hain ? ## PATHAK : Tumhaari aawaaj . Kaun tha ... kyon gayi thi ... ## DEVI : Coaching mein tha . Hum uska project type karte they . Wahin dosti ho gayi ... (she wants to add more but keeps silent) ## PATHAK : Bas itna hi ? ## DEVI : Haan . Achha laga humein us-se baat kar ke ... ## PATHAK : Socha nahin ek baar bhi ? Ye sab karne se pahle ... ## DEVI : Pata nahin . ## PATHAK : Ek ladka marr gaya hai ... hum 3 lakh ke karje mein hain ... yeh ... FD tod ke 50 hajaar nikaale hain ... tum jail ki chaukhat pe ... aur jawaab hai ""pata nahin"" ! Kya bolein ... sab naas kar diya . Sab . ## ",PATHAK 4 lakh ke karje mein hai,contradictory,"Reader: Will you say something that everyone should accept themselves? ## Devi: What do you want to hear? ## Reader: Your voice. Who was there... why did you go... ## Devi : Was in coaching. We type his project. Wahi dosti ho gayi... (She wants to add more but keeps quiet) ## Reader: That's all? ## Devi: Yes. Nice to talk to us... ## Reader: Didn't think of it even once? Before doing all this... ## Devi: I don't know. ## Reader: A boy has died… we are in the debt of 3 lakhs… Yeh… FD tod ke 50 thousand nikle hai… you are on the doorstep of the jail… and the answer is “I don’t know ""! What did you say... all wasted. All. ,",reader is in debt of 4 lakhs
1105,"MEERA : ...please kuchh help kijiye . ## SATBIR : O ! Ahn Re ! ## BIHARI MIGRANT : K ... kaun ? Kya hua ? ## SATBIR : O Bihari ! Koi lugaayi aayi ke ? ## BIHARI MIGRANT : Koi nahi aaya hian toh . Bas aap du log aaye hain . ## FAUJI : Batti kaise on hui baahar ki ? ## BIHARI MIGRANT : Woh ... pesaab ke liye gaye the . ## BIHARI MIGRANT : Mehraru hai maalik . ## BIHARI MIGRANT : Pul ke us taraf thana hai . ## MEERA : Police mili hui hai . Gaon mein koi ...? ## BIHARI MIGRANT : Sarpanch hoga . Unke paas jaaiye . ## MEERA : Aap le chalenge ? ## BIHARI MIGRANT : Hum baahar waale hain , Madam . ## ",BIHARI MIGRANT  Sarpanch ke paas jaane ko keh raha hai. ,entailment,"Meera: ...Please help me. ## Satbir : Hey! Ah hey! ## Bihari migrant: a... who? What happened ? ## Satbir: Oh Bihari! Anybody got it? ## Bihari migrant: No one has come. Only you two people have come. ## Fauji: How did the light of the spring come on? ## Bihari migrant : He... went for pesab. ## Bihari migrant: Mahararu is the owner. ## Bihari migrant: We have a police station on the side of the bridge. ## Meera : Police is found. Anyone in the village...? ## Bihari migrant: Sarpanch will be there. Go to them ## Meera: Will you take me? ## Bihari Diaspora: We are out there, madam. ,",The Bihari migrant is asking to go to the sarpanch.
1106,DHANIRAM : School mein koi problem ? Koi boyfriend ..? ## NUTAN : She was just 14 years old . ## DHANIRAM : Best friend koi ladka ? ## DHANIRAM : Ya ladki ? ## RAMESH : Why don't you understand ? Its Khempal ! Ghar mein 4 log thhe . Do zinda hain .. ek dead aur ek gaayab . I will appreciate it officer if you will stop wasting your time ## ,She was just 16 years old,contradictory,Dhaniram: Any problem in school? Any boyfriend..? ## Nutan : She was just 14 years old. ## Dhaniram: Best friend any boy? ## Dhaniram : Or girl? ## Ramesh: Why don't you understand? Its keeper! 4 people in the house. Two are alive.. one dead and one singer. I will appreciate it officer if you will stop wasting your time ##,she was only 16
1107,"BAUJI : Arre yeh chutney chakho .. ## MOTHER : Nahi nahi- humein nahi achhi lagti hai .. ## BAUJI : Arre kha kar toh dekho . Pehle hi har cheez mein na .. ## MOTHER : Kitney baras ho gaye hain ? ## BAUJI : 28 ! ## MOTHER : 28 ? Tum 28 baras se dhauns jama rahe ho mujh par ? Pichle janam mein bahut achhe karam kiye honge tumne , jo aisi achhi gharwali mili hai .. ## BAUJI : So toh hai .. ## BAUJI : Aur tumney ? ## MOTHER : Yeh janam toh cut gaya jaise taise- Main toh agle janam ka soch rahi hoon- abhi se .. ## BAUJI : Kaisa halka halka sa lag raha hai na sub .. Sub jhanjhat se parey .. Lag raha hai jaise akash mein udd raha hoon .. ## BAUJI : 105 ## MOTHER : Kuchh nahi .. ## BAUJI : Toh phir hansi kyun ? ## BAUJI : Arre kuchh bologi bhi ki khali khee-khee hi karti rahogi ..? ## MOTHER : Main kya boloon ? Tum hi udd rahe ho .. Batein toh badi badi karte ho anubhav ki .. Akash mein udne ka anubhav hai tumhe ? ## ",Mom abhi se agle janam ka soch rahi hai,entailment,"Bauji: Hey taste this chutney.. ## Mother: No, we don't like it.. ## Bauji: Hey eat it and see. Already not in everything.. ## Mother: How many years have passed? ## Bowie : 28 ! ## Mother : 28 ? You've been stalking me for 28 years? You will be of very good deeds in Pichle Janam, who has got such a good family member.. ## Bauji: So it is.. ## Bauji: And you? ## Mother: This birth is cut off like this - I am thinking of the next birth - from now on.. ## Bauji: How light is it feeling, isn't it everyone. I am.. ## Bauji: 105 ## Mother: Nothing.. ## Bauji: Then why laugh? ## Bauji: Hey, will you say something that Karti will remain empty-handed..? ## Mother: What shall I say? You are the only one who is flying. ,",Mother is thinking of next birth from now on
1108,"DR. TSERING : Congestion badhta jaa raha hai ... ## DR. TSERING : Pakhi ... meri baat sun rahi ho ? ## DR. TSERING : Kissi garam jagah jaakar rahna chahiye tumhe ... zyaada jeeyogi ... ## PAKHI : Marna to hai hi ek din doctor uncle ... kya karoongi ji kar ? ## DR. TSERING : Ek aur kitaab likh sakogi ... ## PAKHI : Jo likh rahi hoon , ussi mein hi saari zindagi khatam ho jaati hai ... ## ",DR. TSERING kisi  garam jagah jaakar rahna chahata hai. ,contradictory,"Doctor. Tsering: Congestion is increasing... ## Dr. Tsering: Pakhi... Are you listening to me? ## Doctor. Tsering: You should live in a warm world... ## Pakhi: I have to die one day, Doctor Uncle... What will I do? ## Doctor. Tsering: Will you be able to write another book... ## Pakhi: The whole life ends in what I am writing... ##",Doctor. Tsering wants to wake up to someone warm.
1109,"CHACHA : Achchi jagah hai , tumhare liye perfect hoga Rahul ... ## RAHUL : Ok Tia .. tumhare uncle se baat kar lo ... paperwork shuru karte hain ... ## CHACHA : Tum se milkar achcha laga . ## RAHUL : Tu nahin aa raha ? ## ARJUN : Main .. aata hoon ... ## TIA : Oh Thanks , thanks ! ## ",RAHUL ARJUN ko aane se mana kar raha hai. ,contradictory,"Uncle: Good world, it will be perfect for you Rahul... ## Rahul: Ok Tia.. talk to your uncle... let's start the paperwork... ## Uncle: Loved the milk from you. ## Rahul: You are not coming? ## Arjun : I... come... ## TIA: Oh thank you, thank you! ,",Rahul convinces Arjun to come.
1110,"RAHUL : Music kum kar .. you're distracting me-- ## ARJUN : Yeh khataara bees ke upar chalti hai . Chinta chhod accelerator daba . ## RAHUL : Shut up Arjun . ## ARJUN : What the-- C'mon , uss gaadi ko overtake kar . ## RAHUL : Arjun ! Rehne de . ## ARJUN : C'mon , accelerator daba , daba , daba ! ## RAHUL : Yeh kya hai ? ## ARJUN : --shhh , aaram se overtake kar ... ## ARJUN : ---song lyrics--- ## RAHUL : Oh my God .. Oh my God ... Uski shakal dekhi tuney !! ## ",RAHUL accelerator dabaane ko keh raha hai,contradictory,"Rahul: Music kum kar.. You are distracting my attention-- ## Arjun: This danger runs above twenty. Don't worry, dab the accelerator. ## Rahul : Shut up Arjun. ## Arjun: What-- Come on, overtake that car. ## Rahul : Arjun! Rene Day. ## Arjun: Come on, accelerator daba, daba, daba! ## Rahul: What is this? ## Arjun:- Shah, overtaking with ease... ## Arjun:--- Lyrics of the song---## Rahul: Oh my God..Oh my God...you saw his face!! ,",Rahul is asking to press the accelerator
1111,"GOVIND : Kya .. Praful bhai , gayee diwali se rate badhaane ki baat hui thi .. Idhar mehangayee to har mahine badhe ja rahi hai ## PRAFUL BHAI : Agle time se har item pe do do rupayee badha denge ## GOVIND : Chaar bola tha aapne ## PRAFUL BHAI : Chalo .. Teen pakdo ## PRAFUL BHAI : Govind bhai gilli danda ramta tha tyaarthi tamara khakhra thepla vechu chu , koi diwas nuksaan thayu che ?? Par govind bhai paako vyaapari banigyo , haan jamna ben ? ## JAMNABEN : Badhi thakur ji ni krupa che ## GOVIND : Fraud che saalo . ## ",Agle time se har item par 5 rupayee badha denge,contradictory,"Govind: What .. Praful Bhai, there was talk of increasing the rate from Diwali .. Here the mehndi is increasing every month ## Praful Bhai: From next time on every item will increase by Rs. ## Praful Bhai : Come on .. three catch ## Praful Bhai : Govind Bhai Gilli danda was ramtatha tamara khakhra thepla vechu chu ?? But Govind Bhai Pako Vyapari Banigyo, Yes Jamna Ben? ## Jamnaben: Badi Thakur ji ni kripa che ## Govind: Fraud che salo. ,",Will increase by Rs 5 on every item from next time
1112,ASLAM : Sir kuch zyada hi bharosa nahi jeet gaya main ? Vicky Thakur ki supari di hai Pappu ne ... Uske baad mujhe nikalney ka arrangement kareingey ... ## ASHWINI : Uda do ... Maal kha gaya hoga shayad unka ... Good riddance ... ## ASLAM : Vardi mein naa hon toh saale officer bhi gangster hi lagte hain ... ## ASLAM : Baat baat pe udaa do ... Thok do ... Lekin kyon nahi kahe ... Jab kaam tamaam hota hai toh unki kahan thunkti hai ? Woh toh hum chutiye marte hain ... ## ,Vicky Thakur ne Pappu ki supari di hai. ,contradictory,"Aslam: Sir, I haven't lost too much trust? Vicky Thakur's supari di hai Pappu ne... After that I will arrange for me nikalenge... ## Ashwini : Ud do... Mal ka gaya hai hai pappu ne... ## Aslam: In uniform If not, then brother-in-law officers also look like gangsters… ## Aslam: Baat Baat Pe Ud Do… That's why we chutiya die... ##",Vicky Thakur has given Pappu's supari.
1113,"MANSOOR: : Nahi Fahad nahi , agar humne iss bomb ko phek diya toh hum bhi mar jaayenge ## FAHAD: : Hum mar chuke hai Mansoor , aage kua peeche khaai hain , yahaan se bach nikle toh baahar militry maar degi ## NEERJA : Chalo , be brave now , for me . ## MANSOOR: : Militry maaregi nahi , giraftar karegi , hum bach sakte hain ## NEERJA : Go go , I'm right behind you . Woh aunty[pointing to a Sanjana at the end of the slide] tumhe catch kar lengi . ## SAFIRINI: : Fahad-Mansoor- Khalil- ## SAFIRINI: : Goli chala ## SAFIRINI: : Miltry ke haath marne se behtar hain hum apne haathon mar jaaye ## SAFIRINI: : chala goli . Iss tamashe ko khatam kar de ## ","SAFIRINI Fahad, Mansoor, Khalil se Goli chalane ko keh raha hai. ",entailment,"Mansoor:: No Fahd, if we throw this bomb, we will also be killed ## Fahd: We have killed Mansoor, have ditched the well in front, if children come out from here, then out military, now be brave, for me. ## MANSOOR: : Military will not die, will arrest, we can survive ## Neerja: Go go, I am right behind you. That Auntie [pointing to Sanjana at the end of the slide] will catch you. ## SAFIRINI: : Fahad-Mansoor-Khalil- ## SAFIRINI: : Shot fired ## SAFIRINI: : It is better to die at the hands of the military than to kill us ## SAFIRINI: : Shot. put an end to this spectacle ##","Safirin asks Fahad, Mansoor, Khaleel to shoot."
1114,MISHRA : Kahaan se ho ? Maduvadeeh ? ## DEVI : Nahin . ## MISHRA : Nepal se ? ## DEVI : Aap galat samajh rahe hain . ## MISHRA : Abe kop-bhavan hai kya ? Todo sasur . ## ,DEVI na Maduvadeeh se hai aur na Nepal se. ,entailment,"Mishra: Where are you from? Maduwadih? ## Devi: No. ## Mishra : From Nepal? ## Devi: You misunderstood. ## Mishra : What is a kope building abe? Todo father-in-law. ,",Devi is neither from Maduwadih nor from Nepal.
1115,ASLAM : Rukke bhai ... Kum padh gaye thaiy ... Saleem bhai ne ... ## GOLDMAN : Toh ginke do kyon le raha hai ? ## ASLAM : Ji bhai do hi kum padey thaiy ... ## GOLDMAN : Theek hai ... theek hai ... ## ,3 kam padey they,contradictory,Aslam : stayed bhai... kum read tha... salim bhai ne... ## GOLDMAN: So why is he taking two of Jinke? ## Aslam : Yes brother there were only two left... ## GOLDMAN : ok... ok... ##,they got 3 jobs
1116,"SHAHID : Thank you , Sir . ## EDITOR-2 : Tum yeh bhi jaante ho ki yeh sab hote hue bhi main tumhein hire kyon nahin kar sakta ? ## SHAHID : Kyon Sir ? ## EDITOR-3 : Well ... ## SHAHID : Sir , Court se mujhe honorable discharge mila hai . It was a mistake . ## EDITOR-4 : Tumhara kahna sahi hai , par sahi aur galat ka lihaj aaj kisse hai ? Yeh shahar ab Bombay nahin , Mumbai hai . ## SHAHID : Toh iska matlab hai aap mujhe reject kar rahein hain ? ## SHAHID : I reject this job . Before you can reject my application . Shahid stands and walks out . ## ",Aaj sahi aur galat ka lihaaj sabko hai,contradictory,"Shahid: Thanks, sir. ## Editor-2: You also go that in spite of all this, why can't I do it in you? ## Shahid: Why sir? ## Editor-3 : Well... ## Shahid : Sir, I have got an honorable discharge from the court. That was a mistake. ## Editor-4: You are right, but what is the point of right and wrong today? This city is no longer Bombay, it is Mumbai. ## Shahid: So it means you are rejecting me? ## Shahid : I decline this job. Before you can reject my application. Shahid stood up and went outside. ,",Everyone has a sense of right and wrong today.
1117,KABEER : Abbu ! ## WALI KHAN : Ammi kahan hai Kabeer ? ## KABEER : Doosrey kamrey Abbu ... officer baat kartey hain ... Aap aa rahey ho lene ? ## WALI KHAN : Kaise nahi aayengey ... aa rahein hain hum toh ... Kabeer ... Kabeer ... ## KABEER : Bike pe ! ## WALI KHAN : Nahi ... Badi si gaadi mein ... Tumhe dikhayi thi naa ? Woh wali ... Bas rastey mein hain ... Ab uncle ko phone do ... ## WALI KHAN : Nafisa aur Kabeer ko Section Post 40 pe le aao ... Tumhara aadmi wahin milega ... ## ,WALI KHAN bike pe aa raha hai,contradictory,Kabir: Abbu! ## Wali Khan: Where is Ammi Kabir? ## Kabir: Doosra Kamre Abbu... Officers talk... Are you coming to pick up? ## Wali Khan : How will not come... We are coming... Kabir ... Kabir ... ## Kabir: On the bike! ## Wali Khan: No... in a big car... did you see it? Woh waali... bas raast mein hain... now let's call uncle... ## Wali khan: bring Nafisa and Kabir to section post 40... your man will be found... ##,Wali Khan is coming on bike
1118,"NEERJA: : Tch Tipsy ! Mamma please , sone do , ## RAMA : tipsy and putting it down) ## RAMA : Modelling itni achi chal rahi hain teri , aise mazdooron ki tarah kaam karna zaroori hain ? Yeh air hostess ki naukri chhod kyun nahi deti ## NEERJA : Mamma I love my air hostess job ## RAMA : Yahi toh problem hain ! Pataa hain ? Tere plane ke take off karte hi , blood pressure high ho jaata hain mera . Tera plane utarta hain uske saath mera pressure ## NEERJA : Aur samose khao meri flight ko blame karo , maine dekha toh aapko kal , teen khaaye na ? ## RAMA : Chal uth ab ! Badmash ! ## ",NEERJA mazdoor ka kaam karti hai. ,contradictory,"Neerja: : Teach Tipsy! Mamma please, let's sleep, ## Rama: Tipsy and put down) ## Rama: Modeling is going so well yours, it is necessary to work like such laborers? Why doesn't she leave the job of air hostess ## Neerja: Mamma I love my air hostess job ## Rama: That's the problem! know? As soon as your plane takes off, my blood pressure gets high. Your plane lands with that my pressure ## Neerja: Eat more samosas Blame my flight, I saw you yesterday, eat three, right? ## Rama: Come on now! naughty! ,",Neerja works as a laborer.
1119,"PRINCE : Welcome ! Rakesh c h a i b o l beta teen . ## TITLI : Nahinji thank you . ## PRINCE : Kuch to lo ji , pehli baar aaye ho . ## NEELU : Nimbu soda aayega ? ## PRINCE : Ja beta nimbu soda bol . ## PRINCE : Flat dekhke ke dil khush karte hain pehle aapka . Fir baat karte hain aaram se . Aaoji aao ! ## ",TITLI ne nimbu soda order kiya,contradictory,"Prince: Welcome! Rakesh C H A I B O L Beta Teen. ## Butterfly: No, thanks. ## Prince: Take something, sir, you have come for the first time. ## Neelu : Lemon soda will come? ## Prince: Go son lemon soda bol. ## Prince : Seeing the flat makes your heart happy first. Then let's talk calmly. Come on come! ,",Butterfly ordered lemon soda
1120,"BHAIRAV : Tumne jhoot bola hum se . Tum fail ho gaye ... ## BHAIRAV : Tumko lagta hai ye sab mazaak hai ? ## BHAIRAV : Bolo ... mazaak lagta hai tumko sab ? ## ROHAN : Nahin sir ... ## BHAIRAV : Padhai kar rahe the ya apna novel likh rahe the ... bolo ... ## BHAIRAV : Humko laga college ja raha hai Rohan . Sudhar gaya hai . Itna straight face jhoot to politician log bhi nahin bolte . Humko bol diye paas ho gaye ho aur yahaan aakar sab ko kahani suna rahe the taaki dus log , jinka thikaana nahin kal zinda rahenge ya nahin bolein 'vah kya writer hai ... ' ## BHAIRAV : Itni aasaani se jaane nahin doonga main isse . Javaab dena padega tumko ... ## ARJUN : Sir ne kya bola ? ## ",BHAIRAV ne kaha ki ROHAN Sudhar gaya hai. ,contradictory,"Bhairav: You lied to us. You have failed... ## Bhairav: You think this is all a joke? ## Bhairav: Say... do you all feel funny? ## Rohan : No sir... ## Bhairav ​​: It was like my novel while studying... Speak... ## Bhairav: We thought Rohan is going to college. has been improved. Even politicians did not speak with such a straight face lie. Humko bol diye has passed and here Aakar was telling the story to everyone so that ten people, who will not be alive tomorrow or not say 'what a writer is he.... You will have to answer... ## Arjun: What did sir say? ,",Bhairav ​​said that Rohan has improved.
1121,"CLERK : Yeh ? ## CLERK : Yeh toh guzar gaya . Haadsa ho gaya ek . ## DEVI : Iski ye file hai humaare paas . Kuch paise baaki hain , ek do books bhi hain uski jo lautani hain . Aap pata de sakte hain ? ## CLERK : Number hai ghar ka . Ye addresss hai unka Allahabad mein . Note karo . Par bolna mat kahin ki maine diya hai . ## ",Yeh went somewhere. ,contradictory,"Clerk: Yes? ## Clerk: It has passed. One got angry. ## Devi: We have this file for it. There is some money left, there are also a couple of books which have to be returned. Can you give the address? ## Clerk: The number is of the house. This is his address in Allahabad. Take note. But don't say anywhere that I have given. ,","Yes, he has gone somewhere."
